,rating,review
"('27 Porcji Family Slow Food', '3')",5.0,"Świetna knajpa z „duszą” Bardzo dobre jedzenie, miła atmosfera. Wszytko jest zawsze na 5 z plusem. Polecamy ją wszystkim znajomym  ( tez są zachwyceni) a sami wracamy tam często!"
"('27 Porcji Family Slow Food', '4')",1.0,"Rozczarowanie to mało powiedziane W lato miałam okazję spróbować w tej restauracji chłodnik z awokado i ogórka - gorzki, nie było to przyjemne danie. Kawa ok. Ale największe rozczarowanie dotyczy właścicieli i ich podejścia do klienta. Przy okazji organizowania imprezy rodzinnej, otrzymałam ofertę również w tej restauracji - została mi wręczona karta dań, poinformowano mnie o cenie za osobę i szczegółach co ta cena obejmuje. Dosyć szybko zdecydowałam się na współpracę, po czym po wpłaceniu kasy (o 100 zł wyższej niż proszono za pierwszym razem), otrzymałam informację że zadeklarowana cena obejmuje dosyć standardowy i nudny obiad, który de facto, wg karty, kosztował mniej niż oferowana cena! I że wcale nie mogę wybierać w tej cenie z karty, jak mi wcześniej powiedziano! Wynikła bardzo nieprzyjemna sytuacja, nie przesłano mi nowej karty, w konsekwencji zrezygnowałam ze współpracy. Zdecydowanie odradzam to miejsce - jestem pod niemiłym wrażeniem arogancji właścicieli, którzy zmienili ustalenia i nie zwrócili mi pieniędzy przesłanych na poczet imprezy, która się nie odbyła! 
Zabrakło bardzo szacunku dla klienta!"
"('27 Porcji Family Slow Food', '5')",4.0,"Mały minus.. Kalmary przepyszne.
Minus za obsługę,więcej zainteresowania niż tylko doniesienie dania do stołu.Wystarczyło zapytać czy może życzę sobie coś więcej albo chociaż sól?"
"('27 Porcji Family Slow Food', '7')",4.0,Bardzo smacznie  Restauracje odwiedziliśmy w sumie przypadkiem. To dobre miejsce dla rodzin z dziećmi bo przy restauracji jest dla nich plac zabaw. Akurat w porze naszej wizyty nie było zbyt wielu klientów tak więc czas oczekiwania na potrawy był w miarę krótki (około 20 minut) i obsługa również była sprawna. Samo jedzenie było bardzo dobre chociaż tak naprawdę sprobowalismy tylko przystawek z braku czasu na danie główne. Same przystawki były bardzo dobre i myślę że jeszcze tam wrócimy spróbować innych dań. 
"('27 Porcji Family Slow Food', '9')",2.0,"Fatalna obsluga Obsluha wyraznie sobie nie radzi z dużym ruchem. Na Frytki czekaliśmy 40 minut, co dla rodziny z dziećmi jest niedopuszczalne. Fatalna obsługa zepsuje każdy posiłek, bo jedzenie jest smaczne. Nie polecam dla rodzin z dziećmi."
"('77 Sushi', '1')",5.0,fajne sushi w dobrej cenie Mila obsluga i dobre sushi moze nie z najwyzszej polki ale jesli chodzi o stosunek jakosci do ceny naprawde ok. mile panie kelnerki. Z czystym sumieniem polecam!
"('77 Sushi', '11')",1.0,"Rozczarowanie Wielkie rozczarowanie. Bywałam u Was częstym gościem, zawsze wszystko na 5+, zabierałam znajomych, byliście numer 1 w Krakowie. Dziś postanowiłam zamówić z dostawą do domu i niestety jakość sushi była słaba. Twardy, wyschnięty ryż, który ewidentnie był gotowany dobrych kilka godzin wcześniej, Końcówki ryby również obeschniete. Całość gumowata, zero przyjemności z jedzenia. Nie tego sie spodziewałam za takie pieniądze. Nie wiem co się stało, ale jeśli możecie Państwo sobie na coś takiego pozwolić, to wielka szkoda..."
"('77 Sushi', '12')",5.0,"Jak zwykle bardzo smacznie Jedzenie wyśmienite, Jedna z najlepszych restauracji sushi w Krakowie. Wszystko świeżutkie - tylko te ceny..."
"('77 Sushi', '13')",4.0,"DOBRE SUSHI W DOBREJ CENIE! Dobre sushi w dobrej cenie. Zwłaszcza z kartą stałego klienta. Dość duże porcje, menu duże i ciekawe. Obsługa miła a lokal  ma swój klimat. Polecam to miejsce!"
"('77 Sushi', '14')",5.0,"Majstersztyk Odwiedziłem 77 Sushi już po raz nasty, ale dzisiaj skradło moje serce do końca. Świeżość składników i przygotowane z nich dania były wyśmienite, czas oczekiwania krótki a obsługa bardzo miła. 
Pomimo minimalnych niedogodności jaką jest np. jedna łazienka na cały lokal - jest to miejsce w którym można super zjeść i miło spędzić czas. Warto posiadać kartę stałego klienta - wtedy ceny nie dają się we znaki ;) Bardzo polecam to miejsce :)"
"('77 Sushi', '15')",5.0,Sushi w Krakowie Zawsze miła obsługa i bardzo dobrze przyrządzone jedzenie. Duży wybór dań. Warto posiadać kartę stałego klienta -50% (nie uwzględnia napojów).
"('77 Sushi', '18')",4.0,"Urodzinowe sushi z dziećmi To nasza kolejna wyprawa do tego lokalu. Jak zawsze polecamy samemu kompletować zestawy niż brać gotowe sety bo nie ma różnicy w cenie praktycznie. Super opcja z zupami, kiedyś była z kaczki ale się skończyła chyba na zawsze. Duży niestety minus na toaletę bo jest tylko jedna i przede wszystkim brudna i osikana, a szkoda bo deasign bardzo ładny. Calkosztalt trzyma się dobrze od kilku lat lecz trzeba rezerwować miejsca wcześniej."
"('77 Sushi', '2')",1.0,"Jeżeli chcecie spędzić miłe chwile, przy dobrym jedzeniu, to wybierzcie inną restaurację - szkoda nerwów ;) Jeżeli chodzi o sushi, to jak na taką cenę, nawet z kartą stałego klienta, wybitnie przeciętne - często rozpada się. Czarny ryż porażka... szkoda wydawać pieniędzy. Wieczne problemy z organizacją i rezerwacją. Jeśli mówimy o kelnerkach to są takie, którym powinno sie zawsze dawać napiwki i są takie (nie życzę Wam żebyście na nie trafili), które powinno się zwolnić dyscyplinarnie. Byłam wiele razy, ponieważ pomijając kwestię obsługi, nigdy nie mogłam narzekać na jakość produktów. Jednak biorąc pod uwagę, że z każdą wizytą jest coraz większy dramat (mimo wolnych miejsc kelnerce się nie chce proponować stolika, czas podejścia kelnerki do stolika coraz dłuższy mimo, że nie ma dużo ludzi, ignorancja klientów, bezczelne teksty w stronę klienta, itp.), to czas znaleźć inne miejsce do spotkań ze znajomymi."
"('77 Sushi', '20')",5.0,"Sushi w doborowym towarzystwie  Po ściance wspinaczkowej zebraliśmy się aby podładować się konkretną porcją ryżu

Nie zawiedliśmy się, dania były pyszne, kilka setów na prawdę mnie urzekło, kelnerka bardzo miła, zadbała o każdy detal, w tym rekompensatę długiego czasu oczekiwania, którego w sumie nie odczuliśmy, wnętrza bardzo ładne. 
Serwis wliczony od 6 osób, bardzo prawidłowe oraz poprawne rozwiązanie, które sam jako kelner polecam 

Warte odwiedzenia, do zobaczenia "
"('77 Sushi', '23')",4.0,"Jadłabym codziennie Uwielbiam! Wegańskie w tempurze to niebo!😰 zresztą jak i cała reszta, uwielbiam to sushi. Całkiem miła obsługa, prawie zawsze mnóstwo ludzi, więc niekiedy ciężko o stolik, lepiej zrobić rezerwację jeśli nie bierze się pod uwagę potrzeby ewentualnej zmiany planów. Daję gwiazdkę mniej,bo zaskoczyliśmy się ze znajomymi przy płatności o obowiązkowej dodatkowej zapłacie 20zł za ""grupę""(5osób). Niby podobno było w karcie, ale kto CZYTA karte aż tak uważnie od początku do końca?"
"('77 Sushi', '24')",2.0,"bardzo małe porcje lubię sushi z sieci 77 jednak oddzial w Krakowie jest mało zadowalający, zarówno przystawki, zupy i kawałki sushi są bardzo małe w porównaniu z pozostałymi lokalami w Polsce. Bardzo długi czas oczekiwania na stolik pomimo iż na sali są wolne miejsca."
"('77 Sushi', '26')",2.0,"NIE ZAMAWIAJCIE TAM/ DO NOT ORTHER THERE Dostawa nigdy nie jest na czas pomimo że pani zamawiająca obiecuje że zrobią wszystko żeby się wyrobić wcześniej niż 2.5 godz - prawie zawsze są po 3!!! Mylą zamówienia, zapominają o sosie sojowym a sushi się rozwala. Ryba najgorszej jakości. Jak z supermarketu... / Delivery never on time. Usualy u have to wait 3-3.5 hrs even though they promise something else (max 2-2.5). Very often the order is wrong, they forget about soya sos and the fish is not good quality. Like sushi from a supermarket..."
"('77 Sushi', '29')",5.0,"Pysznie! Uwielbiam sushi z 77! Bardzo duży wybór, zawsze zamawiamy coś nowego i jeszcze nigdy się nie zawiedliśmy. Niezmiennie naszym numerem jeden jest Set Sake Ten. Obsługa bardzo miła, uśmiechnięta i pomocna. Kiedy nie mamy ochoty wyjścia- zamawiamy na wynos- super opcja!"
"('77 Sushi', '3')",5.0,"Smaczne Sushi jest naprawdę smaczne (niektórzy wręcz uważają, że najlepsze w mieście). Obsługa bardzo sprawna i pomocna. Polecam ten lokal."
"('77 Sushi', '30')",4.0,"Super lunch Bardzo ładny wystrój wnętrza, dania pięknke podane. Oferta lunchowa to świetna sprawa - tanio, a można się dobrze najeść. Kelnerka która nas obsługiwała niestety mało atencyjna, ale poza tym wszystko na plus. "
"('77 Sushi', '31')",3.0,"Mogło by być lepiej Zamawialiśmy z dowozem. Bardzo mała ilość sosu sojowego. Same sushi dużo mniejsze, niż podają je na miejscu."
"('77 Sushi', '32')",4.0,"Ok Jedliśmy sushi w wielu miejscach w Krakowie, więc nie mogliśmy ominąć 77 Sushi, które od lat funkcjonuje na Starym Mieście. Menu ogromne, ryby świeże, raczej klasyczne - dominuje łosoś i tuńczyk. Pierwszy raz dane nam było próbować rolek z czarnym ryżem - fajna odmiana. Na dania czekaliśmy bardzo długo, ale było całkiem w porządku. Lokal nie wyróżnia się niczym specjalnym na tle konkurencji, ale można zjeść azjatycki specjał w dość fajnej cenie - oczywiście pod warunkiem posiadania karty stałego klienta."
"('77 Sushi', '33')",5.0,"Polecam ta sieć restauracji Jadam suhi w rożnych miejscach jednak 77 suhi skradło moje podniebienie. Wszystko jest zawsze świeżuteńkie i szybko podane. Wygodna forma zamówienia zestawów internetowo pozwala zaoszczędzić czas i czekanie w lokalu. Polecam , odwiedzam filie we Wrocławiu przynajmniej raz w miesiącu. "
"('77 Sushi', '34')",5.0,Świetne miejsce Produkty zawsze świeże aczkolwiek przy średnio zapelnionej sali czekalam ponad 40 min na zamówienie. Za każdym razem jak jestem smak niezapomniany aczkolwiek przy zawsze tym samym zamówieniu czasem na tacy z sushi pojawiają się inne rzeczy raz jest marchew z sezamem na  jakieś 5 razy także to mnie zastanawia. Ogólnie mocno polecam i często tam wracam !
"('77 Sushi', '4')",1.0,"Ochyda Nigdy nie jadłam gorszego sushi. Dostaliśmy zimne, twarde rollsy. Nie wyglądały nawet zachęcająco. Bez smaku, okropne. 
Nie polecam..
Wybierzcie się do innej knajpy na prawdziwe i pyszne sushi, a nie będziecie żałować wydanych pieniędzy..
W sumie to nie można niczego wymagać od zwykłej sieciówki. "
"('77 Sushi', '5')",1.0,"Najgorsza obsługa w całym Krakowie Sushi przeciętne, jednak nie mogę tego samego NIESTETY powiedzieć o obsłudze. Obsługa w sposób ponad przeciętny robi z klientów idio***. Zamówiliśmy wino lychee. Kelnerka bez słowa przyniosła zamówienie. Próbujemy, a tu się okazało, że otrzymaliśmy zwykłe, półwytrawne wino różowe. Poprosiliśmy o podejście i stwierdziliśmy, że chyba zaszła pomyłka. Co na to kelnerka? Że żadnej pomyłki nie było! Pani stwierdziła, że nie mieli tego produktu więc nam dali coś innego. Zapytaliśmy czemu nas nie poinformowała. W odpowiedzi bez słowa zaczęła nam sprzątać kieliszki ze stołu. Zero przeprosin. Poprosiliśmy o rachunek. Zapłaciliśmy gotówką, czekamy na resztę. Nie doczekaliśmy się więc podeszliśmy do kelnerki, stwierdziliśmy, że chyba się nie rozliczyliśmy, a ta ze zdziwieniem patrzy i mówi, że jej daliśmy NAPIWEK. Napiwek należy się za dobrą obsługę, a nie za tak fatalną. Reasumując - dostaniecie inny produkt niż zamawialiście, a o napiwku myśleć nie musicie, ponieważ kelnerka sama sobie naliczy. Stracone prawie 300 zł. Za taką kwotę w Krakowie będziecie milion razy lepiej obsłużeni i zjecie lepsze sushi. Nie polecam!"
"('77 Sushi', '7')",5.0,"Nieodmiennie uwielbiam to miejsce Nieodmiennie uwielbiam to miejsce. Bywam tam od lat - najpierw w lokalu na św Anny a teraz na Poselskiej i zawsze jestem zadowolona. Zamawiam tez z dostawa i jakość sushi zawsze mnie zadowala. Uwielbiam to, ze obniżają ceny o 50% dla stałych klientów oraz przy zamówieniach na pyszne.pl, szkoda tylko ze chcą aż 20zl za dostawę. Wiadomo ze czasem trafi się jakiś początkujący sushimaster i sushi wyglada ciut gorzej, ale zawsze jest świeże i smaczne. Zdażyło mi się raz, ze Pani pomyliła moje zamówienie i dostaliśmy inny, większy zestaw, ale był smaczny i to co zostało zabraliśmy do domu, wiec nie miałam z tym problemu :) polecam tez herbatkę z liczi i choysecco :)"
"('77 Sushi', '8')",1.0,Odrzucenie zamówienia on line. Odrzucenie zamówienia on line. Brak podania powodu. Brak odpowiedzi na maila. Zachowanie słabe w biznesie usługowym
"('77 Sushi', '9')",5.0,"pyszne sushi do tego miejsca zaprosiła mnie znajoma .Do tej pory nie jadłam sushi i byłam raczej na nie. Po tej wizycie zmieniłam zdanie ,sushi to coś pysznego .To wyjątkowa restauracja z pysznym SUSHI  . Wzięłam też na wynos .Polecam"
"('AWIW Restaurant', '10')",5.0,"Cudowny wieczór Świetne miejsce na spędzenie wieczora przy muzyce na żywo. Pyszne jedzenie, na upalną pogodę zwłaszcza polecam panna cotta na deser."
"('AWIW Restaurant', '101')",5.0,"Pełen profesjonalizm Bardzo dobre miejsce na spotkanie ze znajomymi, rewelacyjne jedzenie, deser i kawa od Justyna zwala z nóg !!! Gorąco POLECAM !!!"
"('AWIW Restaurant', '102')",5.0,"JEDNA Z NAJLEPSZYCH RESTALRACI W KRAKOWIE Wspaniale jedzenie.Profesionalna obsluga,mimo mlodego wieku.Specjalna atmosfera lokalu dzieki zespolowi muzycznemu. Grajacemy muzyke klezmerska ( zydowska)"
"('AWIW Restaurant', '113')",5.0,Polecam!  Pyszne jedzenie a muzyka na żywo umila pobyt w restauracji! Kelnerka Paula swietnie potrafi doradzić w wyborze dań. Napewno jeszcze tam wrócę :)
"('AWIW Restaurant', '115')",5.0,"Bardzo fajna knajpka z  bardzo  smacznym  jedzeniem  i  swietnym  klimatem Jestem  tutaj  juz  nie  pierwszy  raz i  serdecznie polecam. Muzyka  na  zywo, doskonała  kuchnia ( Super śniadania pyszne  steki,  cielecina i  pierogi ) Bardzo  miła  obsluga, super  klimat . Polecam, polecam , polecam"
"('AWIW Restaurant', '116')",5.0,"ŚWIETNA  KUCHNIA- POLECAM !!! SERDECZNIE  POLECAM  TO  MIEJSCE, Doskonała kuchnia, wszystko swieze 
 i  pieknie  podane (pyszne  pierogi  i  sałatka z  kozim  serem, doskonałe  steki i  zeberka , przepyszny  tort  czekoladowy ) Bardzo  sympatyczna  obsługa, wieczorami muzyka  na  żywo . Bardzo  fajny  ogródeki , oraz bardzo  przytulna  restauracja Polecam , polecam i  jeszcze  raz  polecam!!!"
"('AWIW Restaurant', '118')",5.0,"Kolacja Wspaniały klimat , muzyka na żywo . Pani z obsługi przemiła i jedzenie jedno z Najlepszych jakie jadłem . Polecamy ."
"('AWIW Restaurant', '12')",5.0,"Pyszne jedzenie z przepiękną muzyką na żywo Cudowny klimat krakowskiego Kazimierza, przepiękna muzyka na żywo, a co najważniejsze przepyszne jedzenie! Ser kozi na karmelizowanych burakach - rozkosz w ustach, deser firmowy to cudo, a niepozorne, zwykłe pierogi - jedne z najlepszych jakie w życiu jadłam. Wizyta w restauracji Awiw była czystą przyjemnością. Gorąco polecam!"
"('AWIW Restaurant', '120')",5.0,"Miejsce warte odwiedzenia! Polecam restaurację Awiw na Kazimierzu. Bywam w Krakowie często i uważam że jest to miejsce, które nie tylko warto ale i trzeba odwiedzić. Świetna atmosfera podkreślona dobrą klezmerską muzyką, ciekawa karta zachęciły mnie do odwiedzenia. Miła fachowa obsługa Pani Olene jej znajomość smaków pozwoliły mi zakosztować specjałów kuchni. Zjadłem wyśmienity udziec cielęcy zaproponowany przez kelnerkę.Trafiła w moje gusta.  Na dodatek skosztowałem tatara ze śledzia , który mi nawet nad morzem tak nie smakował. Serdecznie polecam."
"('AWIW Restaurant', '121')",5.0,"Polecam Specyficzna atmosfera wzbogacona muzyka klezmerską, bardzo dobre jedzenie (gicz jagnieca i tatar że śledzia), świetna  obsługa Oleny"
"('AWIW Restaurant', '122')",5.0,Polecamy :) Jedzenie przepyszne. Gicz jagnięca oraz gęsina na najwyższym poziomie. Obsługiwała nas bardzo miła kelnerka Pani Tatiana:)   Wino Izraelskie do obiadu rewelacja :) wrócimy napewno w to miejsce :)
"('AWIW Restaurant', '127')",4.0,"Klimat Przede wszystkim klimat! Może niedaleko od Starego Rynku ale zawsze jest miejsce, muzyka na żywo nawet dla osoby nieznającej kultury żydowskiej bardzo uprzyjemnia wizytę :)"
"('AWIW Restaurant', '14')",5.0,"Serce Kazimierza Wczoraj trafiłam do tego magicznego miejsca! Istne serce Kazimierza! Niesamowita muzyka na żywo tylko dodaje uroku całej restauracji. Kelnerzy bardzo mili, a dania przychodzą w miarę szybko i smakują wyśmienicie! Osobiście polecam pierogi! Co kto lubi, ale dla mnie wygrały te z mięsem i ruskie !!! Awiw to na pewno idealne miejsce, żeby pysznie zjeść i spędzić miło wieczór !! "
"('AWIW Restaurant', '148')",3.0,Kolacja na kazimierzu Dania smaczne choć karta dań niezbyt obszerna. Jeśli ktoś szuka typowej kuchni żydowskiej zawiedzie się bo dania są al'a żydowskie i to dosłownie kilka pozycji. Na plus zasługuje muzyka na żywo.
"('AWIW Restaurant', '157')",4.0,"Chwila przy dobrej muzyce Polecam wszystkim zwolennikom dobrej żydowskiej kuchni przy dźwiękach relaksującej muzyki, warto odwiedzić. Restauracja z dobrą obsługą oraz klimatem przedwojennego Krakowa."
"('AWIW Restaurant', '160')",5.0,"Genialnie Byliśmy w Awiw gdy wracaliśmy ze znajomymi z wypadu w góry, mimo średnio zachęcającego wyglądu zostaliśmy bez problemu obslużeni. Jedzenie warte każdego qrosza, wykwintnie podane i naprawdę bardzo smaczne"
"('AWIW Restaurant', '165')",3.0,"Napiwek (NIE)obowiązkowy. Na dworze śnieg z deszczem, daliśmy się wciągnąć pod gazowy parasol. Obiad całkiem smaczny, choć cena bardzo słona. W foliowych ścianach nie poczuliśmy atmosfery żydowskiej knajpki. Młode kelnerki swobodnie rozmawiają z zagranicznymi gośćmi, doradzają, a na koniec wręczają rachunek z... dopłatą za servis. Jak nie zauważysz to dołożysz napiwek do i tak dodanych 10 %. To nie Ameryka ! I dlatego nie daję najlepszej oceny."
"('AWIW Restaurant', '17')",5.0,Klimatyczny wieczór Gorąco polecam restaurację. Przepysznie przyrządzony morski okoń to raj dla podniebienia. Polecam na klimatyczny wieczór!!!
"('AWIW Restaurant', '18')",5.0,"Wspaniały klimat Kazimierza Szczególnie polecam bakłażana pieczonego w jogurcie z pitą oraz pierogi ze szpinakiem i kurczakiem. Do picia są ciekawe propozycje drinków, moi faworyci to: sex in the Cracow oraz porn star martini - oba idealne na letnie wieczory.
W restauracji jest muzyka na żywo, co wpływ pozytywnie na klimat miejsca."
"('AWIW Restaurant', '19')",5.0,"Świetne miejsce Bardzo smaczne jedzenie - zarówno kuchnia polska jak i żydowska, miła obsługa i wspaniale oddająca klimat dzielnicy Kazimierz muzyka na żywo! Miejsce zdecydowanie wyjątkowe na mapie Krakowa."
"('AWIW Restaurant', '20')",5.0,"Najlepsza restauracja na Kazimierzu  Najlepsza restauracja w mieście !! Przepysznie, miło i muzyka na żywo klimatyczna ! Najlepsze polecam burgery i pierogi, które jak widać na zdjęciu znikają bardzoo szybko ! 😍 mile widziani turyści z całej Polski, Europy i świata ! 😊"
